Name,Energy Type,Set Name,Set Code,Card Number,Card Type,HP,Attacks,Weakness,Retreat Cost,Illustrator,Flavor Text,Image URL,Rarity,Pack,Local Image Path
Voltorb,Lightning,Shining Revelry,A2b,23,Pokémon - Basic,70,"[{'name': 'Lightning Ball', 'cost': ['L'], 'damage': '10', 'effect': ''}]",Fighting,1,Masakazu Fukuda,"It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_023_EN.webp,◊,,cards/shining-revelry/23.webp
Electrode,Lightning,Shining Revelry,A2b,24,Pokémon - Stage 1 - Evolves from Voltorb,90,"[{'name': 'Tumbling Attack', 'cost': ['LL'], 'damage': '50+', 'effect': 'Flip a coin. If heads, this attack does 30 more damage.'}]",Fighting,1,Shigenori Negishi,"The more energy it charges up, the faster it gets. But this also makes it more likely to explode.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_024_EN.webp,◊◊,,cards/shining-revelry/24.webp
Pachirisu,Lightning,Shining Revelry,A2b,25,Pokémon - Basic,70,"[{'name': 'Plasma', 'cost': ['L'], 'damage': '10', 'effect': 'Take a [L] Energy from your Energy Zone and attach it to 1 of your Benched [L] Pokémon.'}]",Fighting,1,imoniii,It’s one of the kinds of Pokémon with electric cheek pouches. It shoots charges from its tail.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_025_EN.webp,◊◊,,cards/shining-revelry/25.webp
Pawmi,Lightning,Shining Revelry,A2b,26,Pokémon - Basic,60,"[{'name': 'Punch', 'cost': ['L'], 'damage': '20', 'effect': ''}]",Fighting,1,Saboteri,It has underdeveloped electric sacs on its cheeks. These sacs can produce electricity only if Pawmi rubs them furiously with the pads on its forepaws.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_026_EN.webp,◊,,cards/shining-revelry/26.webp
Pawmo,Lightning,Shining Revelry,A2b,27,Pokémon - Stage 1 - Evolves from Pawmi,90,"[{'name': 'Punch', 'cost': ['LL'], 'damage': '40', 'effect': ''}]",Fighting,1,Saboteri,"When its group is attacked, Pawmo is the first to leap into battle, defeating enemies with a fighting technique that utilizes electric shocks.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_027_EN.webp,◊◊,,cards/shining-revelry/27.webp
Pawmot,Lightning,Shining Revelry,A2b,28,Pokémon - Stage 2 - Evolves from Pawmo,140,"[{'name': 'Electric Punch', 'cost': ['LL'], 'damage': '70', 'effect': ''}]",Fighting,0,Saboteri,"This Pokémon normally is slow to react, but once it enters battle, it will strike down its enemies with lightning-fast movements.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_028_EN.webp,◊◊◊,,cards/shining-revelry/28.webp
Abra,Psychic,Shining Revelry,A2b,29,Pokémon - Basic,60,"[{'name': 'Psyshot', 'cost': ['P'], 'damage': '20', 'effect': ''}]",Darkness,1,Mousho,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_029_EN.webp,◊,,cards/shining-revelry/29.webp
Kadabra,Psychic,Shining Revelry,A2b,30,Pokémon - Stage 1 - Evolves from Abra,80,"[{'name': 'Psyshot', 'cost': ['P'], 'damage': '30', 'effect': ''}]",Darkness,1,Mousho,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_030_EN.webp,◊◊,,cards/shining-revelry/30.webp
Alakazam,Psychic,Shining Revelry,A2b,31,Pokémon - Stage 2 - Evolves from Kadabra,130,"[{'name': 'Psychic Suppression', 'cost': ['PP'], 'damage': '80', 'effect': ""This attack also does 20 damage to each of your opponent's Benched Pokémon that has any Energy attached.""}]",Darkness,1,Mousho,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_031_EN.webp,◊◊◊,,cards/shining-revelry/31.webp
Mr. Mime,Psychic,Shining Revelry,A2b,32,Pokémon - Basic,90,"[{'name': 'Juggling', 'cost': ['PC'], 'damage': '20x', 'effect': 'Flip 4 coins. This attack does 20 damage for each heads.'}]",Darkness,1,Atsuko Nishida,The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_032_EN.webp,◊,,cards/shining-revelry/32.webp
Drifloon,Psychic,Shining Revelry,A2b,33,Pokémon - Basic,60,"[{'name': 'Ram', 'cost': ['P'], 'damage': '20', 'effect': ''}]",Darkness,1,kodama,It is whispered that any child who mistakes Drifloon for a balloon and holds on to it could wind up missing.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_033_EN.webp,◊,,cards/shining-revelry/33.webp
Drifblim,Psychic,Shining Revelry,A2b,34,Pokémon - Stage 1 - Evolves from Drifloon,90,"[{'name': 'Gust', 'cost': ['P'], 'damage': '40', 'effect': ''}]",Darkness,0,Hajime Kusajima,It can generate and release gas within its body. That’s how it can control the altitude of its drift.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_034_EN.webp,◊◊,,cards/shining-revelry/34.webp
Giratina ex,Psychic,Shining Revelry,A2b,35,Pokémon - Basic,150,"[{'name': 'Chaotic Impact', 'cost': ['PPPC'], 'damage': '130', 'effect': 'This Pokémon also does 20 damage to itself.'}]",Darkness,2,PLANETA Yamashita,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_035_EN.webp,◊◊◊◊,,cards/shining-revelry/35.webp
Gimmighoul,Psychic,Shining Revelry,A2b,36,Pokémon - Basic,60,"[{'name': 'Chest-ouflage', 'cost': ['C'], 'damage': '0', 'effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""}]",Darkness,1,HYOGONOSUKE,"This Pokémon was born inside a treasure chest about 1,500 years ago. It sucks the life-force out of scoundrels who try to steal the treasure.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_036_EN.webp,◊,,cards/shining-revelry/36.webp
Machop,Fighting,Shining Revelry,A2b,37,Pokémon - Basic,60,"[{'name': 'Low Kick', 'cost': ['F'], 'damage': '20', 'effect': ''}]",Psychic,1,Mina Nakai,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_037_EN.webp,◊,,cards/shining-revelry/37.webp
Machoke,Fighting,Shining Revelry,A2b,38,Pokémon - Stage 1 - Evolves from Machop,100,"[{'name': 'Pummel', 'cost': ['FF'], 'damage': '30+', 'effect': 'Flip a coin. If heads, this attack does 30 more damage.'}]",Psychic,2,Kouki Saitou,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_038_EN.webp,◊,,cards/shining-revelry/38.webp
Machamp,Fighting,Shining Revelry,A2b,39,Pokémon - Stage 2 - Evolves from Machoke,150,"[{'name': 'Power Press', 'cost': ['FF'], 'damage': '70+', 'effect': 'If this Pokémon has at least 2 extra [F] Energy attached, this attack does 50 more damage.'}]",Psychic,2,Kouki Saitou,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_039_EN.webp,◊◊◊,,cards/shining-revelry/39.webp
Hitmonlee,Fighting,Shining Revelry,A2b,40,Pokémon - Basic,80,"[{'name': 'Kick', 'cost': ['F'], 'damage': '30', 'effect': ''}]",Psychic,1,Tomokazu Komiya,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_040_EN.webp,◊,,cards/shining-revelry/40.webp
Hitmonchan,Fighting,Shining Revelry,A2b,41,Pokémon - Basic,90,"[{'name': 'Magnum Punch', 'cost': ['FFF'], 'damage': '90', 'effect': ''}]",Psychic,1,Tomokazu Komiya,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_041_EN.webp,◊,,cards/shining-revelry/41.webp
Riolu,Fighting,Shining Revelry,A2b,42,Pokémon - Basic,70,"[{'name': 'Punch', 'cost': ['FF'], 'damage': '40', 'effect': ''}]",Psychic,1,You Iribi,They communicate with one another using their auras. They are able to run all through the night.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_042_EN.webp,◊,,cards/shining-revelry/42.webp
Lucario ex,Fighting,Shining Revelry,A2b,43,Pokémon - Stage 1 - Evolves from Riolu,150,"[{'name': 'Aura Sphere', 'cost': ['FFF'], 'damage': '100', 'effect': ""This attack also does 30 damage to 1 of your opponent's Benched Pokémon.""}]",Psychic,2,PLANETA CG Works,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_043_EN.webp,◊◊◊◊,,cards/shining-revelry/43.webp
Flamigo,Fighting,Shining Revelry,A2b,44,Pokémon - Basic,80,"[{'name': 'Double Kick', 'cost': ['FF'], 'damage': '50x', 'effect': 'Flip 2 coins. This attack does 50 damage for each heads.'}]",Psychic,1,REND,This Pokémon apparently ties the base of its neck into a knot so that energy stored in its belly does not escape from its beak.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_044_EN.webp,◊◊,,cards/shining-revelry/44.webp
Ekans,Darkness,Shining Revelry,A2b,45,Pokémon - Basic,70,"[{'name': 'Ram', 'cost': ['DC'], 'damage': '30', 'effect': ''}]",Fighting,1,Midori Harada,"By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_045_EN.webp,◊,,cards/shining-revelry/45.webp
Arbok,Darkness,Shining Revelry,A2b,46,Pokémon - Stage 1 - Evolves from Ekans,110,"[{'name': 'Venomous Fang', 'cost': ['DDC'], 'damage': '70', 'effect': ""Your opponent's Active Pokémon is now Poisoned.""}]",Fighting,2,Midori Harada,"After stunning its opponents with the pattern on its stomach, it quickly wraps them up in its body and waits for them to stop moving.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_046_EN.webp,◊◊,,cards/shining-revelry/46.webp
Paldean Wooper,Darkness,Shining Revelry,A2b,47,Pokémon - Basic,50,"[{'name': 'Poison Jab', 'cost': ['D'], 'damage': '10', 'effect': ""Your opponent's Active Pokémon is now Poisoned.""}]",Fighting,1,Mori Yuu,"After losing a territorial struggle, Wooper began living on land. The Pokémon changed over time, developing a poisonous film to protect its body.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_047_EN.webp,◊,,cards/shining-revelry/47.webp
Paldean Clodsire ex,Darkness,Shining Revelry,A2b,48,Pokémon - Stage 1 - Evolves from Paldean Wooper,160,"[{'name': 'Venoshock', 'cost': ['DD'], 'damage': '60+', 'effect': ""If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.""}]",Fighting,3,PLANETA Mochizuki,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_048_EN.webp,◊◊◊◊,,cards/shining-revelry/48.webp
Spiritomb,Darkness,Shining Revelry,A2b,49,Pokémon - Basic,80,"[{'name': 'Confuse Ray', 'cost': ['D'], 'damage': '20', 'effect': ""Flip a coin. If heads, your opponent's Active Pokémon is now Confused.""}]",Grass,1,Shin Nagasawa,Its constant mischief and misdeeds resulted in it being bound to an Odd Keystone by a mysterious spell.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_049_EN.webp,◊◊,,cards/shining-revelry/49.webp
Shroodle,Darkness,Shining Revelry,A2b,50,Pokémon - Basic,60,"[{'name': 'Gnaw', 'cost': ['D'], 'damage': '20', 'effect': ''}]",Fighting,1,Krgc,"Though usually a mellow Pokémon, it will sink its sharp, poison-soaked front teeth into any that anger it, causing paralysis in the object of its ire.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_050_EN.webp,◊,,cards/shining-revelry/50.webp
Grafaiai,Darkness,Shining Revelry,A2b,51,Pokémon - Stage 1 - Evolves from Shroodle,90,"[{'name': 'Bite', 'cost': ['DD'], 'damage': '40', 'effect': ''}]",Fighting,1,Krgc,The color of the poisonous saliva depends on what the Pokémon eats. Grafaiai covers its fingers in its saliva and draws patterns on trees in forests.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_051_EN.webp,◊◊◊,,cards/shining-revelry/51.webp
Tinkatink,Metal,Shining Revelry,A2b,52,Pokémon - Basic,60,"[{'name': 'Corkscrew Punch', 'cost': ['M'], 'damage': '20', 'effect': ''}]",Fire,1,miki kudo,"It swings its handmade hammer around to protect itself, but the hammer is often stolen by Pokémon that eat metal.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_052_EN.webp,◊,,cards/shining-revelry/52.webp
Tinkatuff,Metal,Shining Revelry,A2b,53,Pokémon - Stage 1 - Evolves from Tinkatink,90,"[{'name': 'Tenacious Hammer', 'cost': ['MM'], 'damage': '30+', 'effect': 'Flip a coin. If heads, this attack does 30 more damage.'}]",Fire,2,miki kudo,"This Pokémon will attack groups of Pawniard and Bisharp, gathering metal from them in order to create a large and sturdy hammer.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_053_EN.webp,◊◊,,cards/shining-revelry/53.webp
Tinkaton ex,Metal,Shining Revelry,A2b,54,Pokémon - Stage 2 - Evolves from Tinkatuff,170,"[{'name': 'Terrific Thumping', 'cost': ['MMC'], 'damage': '80+', 'effect': 'Flip a coin. If heads, this attack does 80 more damage.'}]",Fire,2,PLANETA Mochizuki,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_054_EN.webp,◊◊◊◊,,cards/shining-revelry/54.webp
Varoom,Metal,Shining Revelry,A2b,55,Pokémon - Basic,70,"[{'name': 'Headbutt', 'cost': ['M'], 'damage': '10', 'effect': ''}]",Fire,1,Souichirou Gunjima,It is said that this Pokémon was born when an unknown poison Pokémon entered and inspirited an engine left at a scrap-processing factory.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_055_EN.webp,◊,,cards/shining-revelry/55.webp
Revavroom,Metal,Shining Revelry,A2b,56,Pokémon - Stage 1 - Evolves from Varoom,110,"[{'name': 'Spinning Drift', 'cost': ['MMC'], 'damage': '70', 'effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""}]",Fire,2,Souichirou Gunjima,It creates a gas out of poison and minerals from rocks. It then detonates the gas in its cylinders— now numbering eight—to generate energy.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_056_EN.webp,◊◊,,cards/shining-revelry/56.webp
Gholdengo,Metal,Shining Revelry,A2b,57,Pokémon - Stage 1 - Evolves from Gimmighoul,120,"[{'name': 'Scintillating Surfing', 'cost': ['MCC'], 'damage': '50x', 'effect': 'Flip a coin for each [M] Energy attached to this Pokémon. This attack does 50 damage for each heads.'}]",Fire,2,HYOGONOSUKE,"Its body seems to be made up of 1,000 coins. This Pokémon gets along well with others and is quick to make friends with anybody.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_057_EN.webp,◊◊◊,,cards/shining-revelry/57.webp
Rattata,Colorless,Shining Revelry,A2b,58,Pokémon - Basic,50,"[{'name': 'Tackle', 'cost': ['C'], 'damage': '10', 'effect': ''}]",Fighting,1,Eri Yamaki,"Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_058_EN.webp,◊,,cards/shining-revelry/58.webp
Raticate,Colorless,Shining Revelry,A2b,59,Pokémon - Stage 1 - Evolves from Rattata,90,"[{'name': 'Tackle', 'cost': ['CC'], 'damage': '50', 'effect': ''}]",Fighting,1,Kyoko Umemoto,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_059_EN.webp,◊,,cards/shining-revelry/59.webp
Jigglypuff,Colorless,Shining Revelry,A2b,60,Pokémon - Basic,60,"[{'name': 'Rollout', 'cost': ['C'], 'damage': '20', 'effect': ''}]",Fighting,1,Kanako Eo,"It hugely inflates its stomach and sings a mysterious melody. If you hear this melody, you’ll become sleepy right away.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_060_EN.webp,◊,,cards/shining-revelry/60.webp
Wigglytuff,Colorless,Shining Revelry,A2b,61,Pokémon - Stage 1 - Evolves from Jigglypuff,100,"[{'name': 'Gentle Slap', 'cost': ['CC'], 'damage': '50', 'effect': ''}]",Fighting,2,miki kudo,"It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a body slam.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_061_EN.webp,◊◊◊,,cards/shining-revelry/61.webp
